fund_name,category,fund_house,scheme_id,url,status,benchmark,aum_cr,expense_ratio,launch_date,rank_3y,rank_1y,star_rating,return_since_inception_new,return_1y,return_3y,return_5y,return_since_inception,consistency_score,category_rank,sharpe_ratio,alpha,beta,std_dev
Helios Balanced Advantage Fund,Dynamic Asset Allocation,Helios Mutual Fund,44571,https://www.etmoney.com/mutual-funds/helios-balanced-advantage-fund/portfolio-details/44571,ACTIVE,CRISIL Hybrid 50+50 Moderate Index,305,2.4,2024-03-11,,,,5.14,2.92,,,,0.0,0.0,0.0,0.0,0.0,0.0
ICICI Prudential Balanced Advantage Fund,Dynamic Asset Allocation,ICICI Prudential Mutual Fund,3713,https://www.etmoney.com/mutual-funds/icici-prudential-balanced-advantage-fund/portfolio-details/3713,ACTIVE,CRISIL Hybrid 50+50 Moderate Index,70551,1.39,2006-11-08,,,,10.97,3.69,11.65,10.59,,0.0,-1.0,0.7887,0.0,0.9,7.5034
ITI Balanced Advantage Fund,Dynamic Asset Allocation,ITI Mutual Fund,40896,https://www.etmoney.com/mutual-funds/iti-balanced-advantage-fund/portfolio-details/40896,ACTIVE,NIFTY 50 Hybrid Composite Debt 50:50 Index,351,3.21,2019-12-09,,,,5.21,-1.85,8.92,7.22,,0.0,-1.0,,,,
Invesco India Balanced Advantage Fund,Dynamic Asset Allocation,Invesco Mutual Fund,5373,https://www.etmoney.com/mutual-funds/invesco-india-balanced-advantage-fund/portfolio-details/5373,ACTIVE,NIFTY 50 Hybrid Composite Debt 50:50 Index,1024,2.78,2007-08-16,,,,8.83,-3.21,9.41,8.07,,0.0,-1.0,0.4414,0.0,1.16,9.2518
Kotak Balanced Advantage Fund,Dynamic Asset Allocation,Kotak Mahindra Mutual Fund,37558,https://www.etmoney.com/mutual-funds/kotak-balanced-advantage-fund/portfolio-details/37558,ACTIVE,NIFTY 50 Hybrid Composite Debt 50:50 Index,17184,1.73,2018-07-13,,,,9.56,0.13,9.56,8.78,,0.0,-1.0,0.4705,0.0,1.15,8.9574
LIC MF Balanced Advantage Fund,Dynamic Asset Allocation,LIC Mutual Fund,42273,https://www.etmoney.com/mutual-funds/lic-mf-balanced-advantage-fund/portfolio-details/42273,ACTIVE,NIFTY 50 Hybrid Composite Debt 50:50 Index,681,2.34,2021-10-20,,,,6.11,-4.6,6.82,,,0.0,-1.0,,,,
Mahindra Manulife Balanced Advantage Fund,Dynamic Asset Allocation,Mahindra Manulife Mutual Fund,42384,https://www.etmoney.com/mutual-funds/mahindra-manulife-balanced-advantage-fund/portfolio-details/42384,ACTIVE,NIFTY 50 Hybrid Composite Debt 50:50 Index,887,3.36,2021-12-09,,,,8.54,1.0,11.79,,,0.0,-1.0,0.6058,0.0,1.42,10.2931
Mirae Asset Balanced Advantage Fund,Dynamic Asset Allocation,Mirae Asset Mutual Fund,42755,https://www.etmoney.com/mutual-funds/mirae-asset-balanced-advantage-fund/portfolio-details/42755,ACTIVE,NIFTY 50 Hybrid Composite Debt 50:50 Index,2068,2.06,2022-07-21,,,,9.87,2.71,10.76,,,0.0,0.0,0.6459,0.0,1.02,8.2258
Motilal Oswal Balanced Advantage Fund,Dynamic Asset Allocation,Motilal Oswal Mutual Fund,33424,https://www.etmoney.com/mutual-funds/motilal-oswal-balanced-advantage-fund/portfolio-details/33424,ACTIVE,CRISIL Hybrid 50+50 Moderate Index,734,2.39,2016-09-06,,,,6.2,-4.14,4.86,4.16,,0.0,-1.0,0.0489,0.0,1.3,15.4652
Nippon India Balanced Advantage Fund,Dynamic Asset Allocation,Nippon India Mutual Fund,2328,https://www.etmoney.com/mutual-funds/nippon-india-balanced-advantage-fund/portfolio-details/2328,ACTIVE,CRISIL Hybrid 50+50 Moderate Index,9620,2.01,2004-10-16,,,,14.27,1.49,11.1,9.52,,0.0,-1.0,0.6593,0.0,1.0,8.4662
PGIM India Balanced Advantage Fund,Dynamic Asset Allocation,PGIM India Mutual Fund,41729,https://www.etmoney.com/mutual-funds/pgim-india-balanced-advantage-fund/portfolio-details/41729,ACTIVE,CRISIL Hybrid 50+50 Moderate Index,830,2.35,2021-01-15,,,,7.24,-2.39,7.11,7.02,,0.0,-1.0,,,,
Parag Parikh Dynamic Asset Allocation Fund,Dynamic Asset Allocation,PPFAS Mutual Fund,44532,https://www.etmoney.com/mutual-funds/parag-parikh-dynamic-asset-allocation-fund/portfolio-details/44532,ACTIVE,CRISIL Hybrid 50+50 Moderate Index,2709,0.61,2024-02-20,,,,6.79,2.29,,,,0.0,-1.0,0.0,0.0,0.0,0.0
Quant Dynamic Asset Allocation Fund,Dynamic Asset Allocation,Quant Mutual Fund,43876,https://www.etmoney.com/mutual-funds/quant-dynamic-asset-allocation-fund/portfolio-details/43876,ACTIVE,NIFTY 50 Hybrid Composite Debt 50:50 Index,901,2.5,2023-03-23,,,,17.25,0.4,17.77,,,0.0,-1.0,0.6618,0.0,0.0,16.6826
SBI Balanced Advantage Fund,Dynamic Asset Allocation,SBI Mutual Fund,42121,https://www.etmoney.com/mutual-funds/sbi-balanced-advantage-fund/portfolio-details/42121,ACTIVE,NIFTY 50 Hybrid Composite Debt 50:50 Index,40732,1.53,2021-08-12,,,,9.84,2.29,11.38,,,0.0,-1.0,,,,
Samco Dynamic Asset Allocation Fund,Dynamic Asset Allocation,Samco Mutual Fund,44251,https://www.etmoney.com/mutual-funds/samco-dynamic-asset-allocation-fund/portfolio-details/44251,ACTIVE,NIFTY 50 Hybrid Composite Debt 50:50 Index,199,2.48,2023-12-07,,,,0.42,-0.88,,,,0.0,-1.0,0.0,0.0,0.0,0.0
Sundaram Balanced Advantage Fund,Dynamic Asset Allocation,Sundaram Mutual Fund,11431,https://www.etmoney.com/mutual-funds/sundaram-balanced-advantage-fund/portfolio-details/11431,ACTIVE,NIFTY 50 Hybrid Composite Debt 50:50 Index,1658,2.31,2010-11-26,,,,9.31,-1.52,8.81,8.2,,0.0,-1.0,,,,
Tata Balanced Advantage Fund,Dynamic Asset Allocation,Tata Mutual Fund,39184,https://www.etmoney.com/mutual-funds/tata-balanced-advantage-fund/portfolio-details/39184,ACTIVE,CRISIL Hybrid 50+50 Moderate Index,9128,1.79,2019-01-09,,,,10.3,1.41,9.14,8.93,,0.0,4.0,0.4265,0.0,0.0,8.4393
UTI Balanced Advantage Fund,Dynamic Asset Allocation,UTI Mutual Fund,44057,https://www.etmoney.com/mutual-funds/uti-balanced-advantage-fund/portfolio-details/44057,ACTIVE,NIFTY 50 Hybrid Composite Debt 50:50 Index,3030,2.74,2023-07-21,,,,7.7,-2.42,,,,0.0,-1.0,,,,
Union Balanced Advantage Fund,Dynamic Asset Allocation,Union Mutual Fund,35346,https://www.etmoney.com/mutual-funds/union-balanced-advantage-fund/portfolio-details/35346,ACTIVE,NIFTY 50 Hybrid Composite Debt 50:50 Index,1241,2.15,2017-12-07,,,,8.48,-0.3,8.01,7.03,,0.0,-1.0,,,,
WhiteOak Capital Balanced Advantage Fund,Dynamic Asset Allocation,Whiteoak Capital Mutual Fund,43447,https://www.etmoney.com/mutual-funds/whiteoak-capital-balanced-advantage-fund/portfolio-details/43447,ACTIVE,CRISIL Hybrid 50+50 Moderate Index,2152,2.51,2023-01-20,,,,11.27,0.14,11.0,,,0.0,-1.0,,,,
360 ONE ELSS Tax Saver Nifty 50 Index Fund,ELSS,360 One Mutual Fund,43350,https://www.etmoney.com/mutual-funds/360-one-elss-tax-saver-nifty-50-index-fund/portfolio-details/43350,ACTIVE,Nifty 50 Total Return,70,0.84,2022-12-01,31.0,26.0,1.0,,-4.17,8.98,,8.27,1.0,-1.0,0.602,0.341,0.8537,13.6631
Aditya Birla Sun Life ELSS Tax Saver Fund,ELSS,Aditya Birla Sun Life Mutual Fund,7010,https://www.etmoney.com/mutual-funds/aditya-birla-sun-life-elss-tax-saver-fund/portfolio-details/7010,ACTIVE,NIFTY 500 TRI,14378,1.69,2008-03-06,18.0,8.0,3.0,,3.01,13.15,9.3,10.3,3.0,-1.0,0.602,0.341,0.8537,13.6631
Axis ELSS Tax Saver Fund,ELSS,Axis Mutual Fund,10480,https://www.etmoney.com/mutual-funds/axis-elss-tax-saver-fund/portfolio-details/10480,ACTIVE,NIFTY 500 TRI,31566,1.93,2009-12-17,27.0,23.0,2.0,,-2.76,10.99,8.37,14.43,2.0,-1.0,0.602,0.341,0.8537,13.6631
Bajaj Finserv ELSS Tax Saver Fund,ELSS,Bajaj Finserv Mutual Fund,45209,https://www.etmoney.com/mutual-funds/bajaj-finserv-elss-tax-saver-fund/portfolio-details/45209,ACTIVE,BSE 500 TRI,82,4.89,2024-12-24,,10.0,4.0,,2.42,,,8.34,0.0,-1.0,0.0,0.0,0.0,0.0
Bandhan ELSS Tax Saver Fund,ELSS,Bandhan Mutual Fund,9741,https://www.etmoney.com/mutual-funds/bandhan-elss-tax-saver-fund/portfolio-details/9741,ACTIVE,BSE 500 TRI,6835,2.65,2008-12-01,22.0,14.0,3.0,,1.34,12.34,13.73,16.8,3.0,-1.0,0.602,0.341,0.8537,13.6631
Bank of India ELSS Tax Saver Fund,ELSS,Bank Of India Mutual Fund,9806,https://www.etmoney.com/mutual-funds/bank-of-india-elss-tax-saver-fund/portfolio-details/9806,ACTIVE,BSE 500 TRI,1403,2.39,2008-12-12,12.0,4.0,3.0,,3.9,15.54,14.6,17.72,3.0,20.0,0.6255,1.3083,1.0694,17.8806
Baroda BNP Paribas ELSS Tax Saver Fund,ELSS,Baroda BNP Paribas Mutual Fund,2811,https://www.etmoney.com/mutual-funds/baroda-bnp-paribas-elss-tax-saver-fund/portfolio-details/2811,ACTIVE,NIFTY 500 TRI,887,2.31,2005-11-14,8.0,5.0,4.0,,3.36,16.47,13.15,11.41,4.0,11.0,0.7732,3.0717,0.9603,15.441
Canara Robeco ELSS Tax Saver,ELSS,Canara Robeco Mutual Fund,9918,https://www.etmoney.com/mutual-funds/canara-robeco-elss-tax-saver/portfolio-details/9918,ACTIVE,BSE 500 TRI,8529,1.77,2009-02-02,23.0,16.0,2.0,,0.45,12.29,12.36,17.52,3.0,-1.0,0.602,0.341,0.8537,13.6631
DSP ELSS Tax Saver Fund,ELSS,DSP Mutual Fund,3792,https://www.etmoney.com/mutual-funds/dsp-elss-tax-saver-fund/portfolio-details/3792,ACTIVE,NIFTY 500 TRI,16337,1.81,2006-11-27,9.0,21.0,4.0,,-2.09,16.1,14.53,14.13,5.0,4.0,0.7543,2.7105,0.9907,15.7213
Edelweiss ELSS Tax Saver Fund,ELSS,Edelweiss Mutual Fund,9834,https://www.etmoney.com/mutual-funds/edelweiss-elss-tax-saver-fund/portfolio-details/9834,ACTIVE,NIFTY 500 TRI,437,2.43,2008-12-26,13.0,3.0,3.0,,4.21,14.38,13.36,14.83,5.0,30.0,0.6418,0.8139,0.9922,15.5436
Franklin India ELSS Tax Saver Fund,ELSS,Franklin Templeton Mutual Fund,32291,https://www.etmoney.com/mutual-funds/franklin-india-elss-tax-saver-fund/portfolio-details/32291,ACTIVE,NIFTY 500 TRI,6106,1.83,1999-04-05,16.0,34.0,3.0,,-6.26,13.71,13.87,20.01,3.0,-1.0,0.602,0.341,0.8537,13.6631
HDFC ELSS Tax Saver Fund,ELSS,HDFC Mutual Fund,32517,https://www.etmoney.com/mutual-funds/hdfc-elss-tax-saver-fund/portfolio-details/32517,ACTIVE,NIFTY 500 TRI,15559,1.69,1995-12-18,10.0,27.0,4.0,,-4.41,16.01,17.4,22.38,4.0,2.0,0.8127,3.2215,0.8578,13.7109
HSBC ELSS Tax saver Fund,ELSS,HSBC Mutual Fund,2922,https://www.etmoney.com/mutual-funds/hsbc-elss-tax-saver-fund/portfolio-details/2922,ACTIVE,NIFTY 500 TRI,3939,2.06,2006-01-05,5.0,6.0,4.0,,3.1,16.81,14.23,13.62,4.0,19.0,0.7408,2.8776,1.0201,16.6015
ICICI Prudential ELSS Tax Saver,ELSS,ICICI Prudential Mutual Fund,32328,https://www.etmoney.com/mutual-funds/icici-prudential-elss-tax-saver/portfolio-details/32328,ACTIVE,NIFTY 500 TRI,13911,1.71,1999-07-09,17.0,19.0,3.0,,-0.61,13.37,12.94,18.28,3.0,-1.0,0.602,0.341,0.8537,13.6631
ITI ELSS Tax Saver Fund,ELSS,ITI Mutual Fund,40612,https://www.etmoney.com/mutual-funds/iti-elss-tax-saver-fund/portfolio-details/40612,ACTIVE,NIFTY 500 TRI,434,3.56,2019-07-15,3.0,9.0,5.0,,2.53,17.12,12.29,13.82,4.0,-1.0,0.6769,2.2508,1.2148,19.8961
Invesco India ELSS Tax Saver Fund,ELSS,Invesco Mutual Fund,3720,https://www.etmoney.com/mutual-funds/invesco-india-elss-tax-saver-fund/portfolio-details/3720,ACTIVE,BSE 500 TRI,2542,2.2,2006-11-20,19.0,28.0,3.0,,-4.6,12.8,11.26,13.35,3.0,-1.0,0.5298,-0.7623,1.0376,16.6473
JM ELSS Tax Saver Fund,ELSS,JM Financial Mutual Fund,6469,https://www.etmoney.com/mutual-funds/jm-elss-tax-saver-fund/portfolio-details/6469,ACTIVE,BSE 500 TRI,220,2.58,2007-12-24,7.0,12.0,4.0,,2.18,16.59,15.37,8.72,4.0,-1.0,0.7026,2.3567,1.0526,17.1891
Kotak ELSS Tax Saver Fund,ELSS,Kotak Mahindra Mutual Fund,2749,https://www.etmoney.com/mutual-funds/kotak-elss-tax-saver-fund/portfolio-details/2749,ACTIVE,NIFTY 500 TRI,6112,1.95,2005-09-29,24.0,22.0,2.0,,-2.11,11.94,13.03,12.38,3.0,-1.0,0.0985,-8.1828,1.0955,19.6251
LIC MF ELSS Tax Saver,ELSS,LIC Mutual Fund,32142,https://www.etmoney.com/mutual-funds/lic-mf-elss-tax-saver/portfolio-details/32142,ACTIVE,NIFTY 500 TRI,994,2.21,1997-01-01,28.0,33.0,2.0,,-5.63,10.81,11.39,9.54,2.0,-1.0,0.602,0.341,0.8537,13.6631
Mahindra Manulife ELSS Tax Saver Fund,ELSS,Mahindra Manulife Mutual Fund,33387,https://www.etmoney.com/mutual-funds/mahindra-manulife-elss-tax-saver-fund/portfolio-details/33387,ACTIVE,NIFTY 500 TRI,889,2.24,2016-08-22,30.0,29.0,2.0,,-4.64,10.19,11.96,10.66,2.0,28.0,0.602,0.341,0.8537,13.6631
Mirae Asset ELSS Tax Saver Fund,ELSS,Mirae Asset Mutual Fund,30815,https://www.etmoney.com/mutual-funds/mirae-asset-elss-tax-saver-fund/portfolio-details/30815,ACTIVE,NIFTY 500 TRI,25267,2.29,2015-11-20,15.0,13.0,3.0,,1.6,13.85,12.91,16.15,4.0,-1.0,0.6122,0.3195,1.001,15.6221
Motilal Oswal ELSS Tax Saver Fund,ELSS,Motilal Oswal Mutual Fund,28670,https://www.etmoney.com/mutual-funds/motilal-oswal-elss-tax-saver-fund/portfolio-details/28670,ACTIVE,NIFTY 500 TRI,4659,1.99,2014-12-26,1.0,1.0,5.0,,11.24,23.26,19.52,15.88,4.0,6.0,0.8743,8.038,1.1593,21.4394
Navi ELSS Tax Saver Nifty 50 Index Fund,ELSS,Navi Mutual Fund,43622,https://www.etmoney.com/mutual-funds/navi-elss-tax-saver-nifty-50-index-fund/portfolio-details/43622,ACTIVE,Nifty 50 Total Return,156,1.06,2023-02-14,33.0,30.0,1.0,,-4.79,8.22,,10.3,1.0,-1.0,0.602,0.341,0.8537,13.6631
Nippon India ELSS Tax Saver Fund,ELSS,Nippon India Mutual Fund,2630,https://www.etmoney.com/mutual-funds/nippon-india-elss-tax-saver-fund/portfolio-details/2630,ACTIVE,NIFTY 500 TRI,14742,1.86,2005-07-25,11.0,11.0,4.0,,2.29,15.61,14.86,13.08,5.0,-1.0,0.7351,2.2543,0.9738,15.2984
PGIM India ELSS Tax Saver Fund,ELSS,PGIM India Mutual Fund,30664,https://www.etmoney.com/mutual-funds/pgim-india-elss-tax-saver-fund/portfolio-details/30664,ACTIVE,NIFTY 500 TRI,700,2.4,2015-10-19,32.0,32.0,1.0,,-5.6,8.32,10.68,11.87,1.0,24.0,0.0985,-8.1828,1.0955,19.6251
Parag Parikh ELSS Tax Saver Fund,ELSS,PPFAS Mutual Fund,40581,https://www.etmoney.com/mutual-funds/parag-parikh-elss-tax-saver-fund/portfolio-details/40581,ACTIVE,NIFTY 500 TRI,5617,1.79,2019-07-04,26.0,35.0,2.0,,-6.37,11.46,13.66,16.8,2.0,-1.0,0.5934,0.2966,0.6996,11.3866
Quant ELSS Tax Saver Fund,ELSS,Quant Mutual Fund,32489,https://www.etmoney.com/mutual-funds/quant-elss-tax-saver-fund/portfolio-details/32489,ACTIVE,NIFTY 500 TRI,12506,1.8,2000-03-08,6.0,2.0,4.0,,8.0,16.68,15.81,14.98,4.0,10.0,0.6401,1.495,1.1153,18.4268
Quantum ELSS Tax Saver Fund,ELSS,Quantum Mutual Fund,34465,https://www.etmoney.com/mutual-funds/quantum-elss-tax-saver-fund/portfolio-details/34465,ACTIVE,BSE 500 TRI,209,2.1,2017-04-01,20.0,31.0,3.0,,-5.23,12.57,11.61,10.06,3.0,-1.0,0.602,0.341,0.8537,13.6631
SBI ELSS Tax Saver Fund,ELSS,SBI Mutual Fund,31977,https://www.etmoney.com/mutual-funds/sbi-elss-tax-saver-fund/portfolio-details/31977,ACTIVE,BSE 500 TRI,31094,1.62,2007-05-07,2.0,17.0,5.0,,-0.18,19.05,17.69,12.44,5.0,-1.0,0.9082,5.1626,0.981,15.6588
Samco ELSS Tax Saver Fund,ELSS,Samco Mutual Fund,43203,https://www.etmoney.com/mutual-funds/samco-elss-tax-saver-fund/portfolio-details/43203,ACTIVE,NIFTY 500 TRI,97,2.47,2022-11-15,34.0,24.0,1.0,,-3.34,5.58,,5.9,1.0,0.0,0.0985,-8.1828,1.0955,19.6251
Sundaram ELSS Tax Saver Fund,ELSS,Sundaram Mutual Fund,31868,https://www.etmoney.com/mutual-funds/sundaram-elss-tax-saver-fund/portfolio-details/31868,ACTIVE,NIFTY 500 TRI,1183,2.16,1996-01-01,25.0,20.0,2.0,,-1.97,11.61,12.53,17.2,2.0,21.0,0.0985,-8.1828,1.0955,19.6251
Tata ELSS Fund,ELSS,Tata Mutual Fund,28004,https://www.etmoney.com/mutual-funds/tata-elss-fund/portfolio-details/28004,ACTIVE,NIFTY 500 TRI,4519,2.01,2014-10-13,14.0,7.0,3.0,,3.05,14.04,13.79,13.65,4.0,27.0,0.0985,-8.1828,1.0955,19.6251
UTI ELSS Tax Saver Fund,ELSS,UTI Mutual Fund,32407,https://www.etmoney.com/mutual-funds/uti-elss-tax-saver-fund/portfolio-details/32407,ACTIVE,NIFTY 500 TRI,3438,2.1,2005-08-01,29.0,25.0,2.0,,-3.4,10.57,10.3,11.18,2.0,-1.0,0.602,0.341,0.8537,13.6631
Union ELSS Tax Saver Fund,ELSS,Union Mutual Fund,13091,https://www.etmoney.com/mutual-funds/union-elss-tax-saver-fund/portfolio-details/13091,ACTIVE,BSE 500 TRI,841,2.66,2011-11-08,21.0,15.0,3.0,,0.68,12.48,13.38,13.54,2.0,-1.0,0.602,0.341,0.8537,13.6631
WhiteOak Capital ELSS Tax Saver Fund,ELSS,Whiteoak Capital Mutual Fund,42929,https://www.etmoney.com/mutual-funds/whiteoak-capital-elss-tax-saver-fund/portfolio-details/42929,ACTIVE,BSE 500 TRI,450,2.66,2022-08-16,3.0,18.0,5.0,,-0.35,17.12,,15.06,5.0,-1.0,0.8111,3.6187,0.9402,15.1646
360 ONE FlexiCap Fund,Flexi Cap,360 One Mutual Fund,43952,https://www.etmoney.com/mutual-funds/360-one-flexicap-fund/portfolio-details/43952,ACTIVE,BSE 500 TRI,1994,2.54,2023-06-12,,17.0,3.0,,0.23,,,13.84,0.0,-1.0,0.0,0.0,0.0,0.0
Abakkus Flexi Cap Fund,Flexi Cap,Abakkus Mutual Fund,46008,https://www.etmoney.com/mutual-funds/abakkus-flexi-cap-fund/portfolio-details/46008,ACTIVE,BSE 500 TRI,3901,1.92,2025-12-08,,,,1.84,,,,0.53,,,0.0,0.0,0.0,0.0
Aditya Birla Sun Life Flexi Cap Fund,Flexi Cap,Aditya Birla Sun Life Mutual Fund,32258,https://www.etmoney.com/mutual-funds/aditya-birla-sun-life-flexi-cap-fund/portfolio-details/32258,ACTIVE,NIFTY 500 TRI,25632,1.6,1998-08-17,9.0,8.0,4.0,,4.8,16.41,13.35,20.63,5.0,-1.0,0.7604,2.4868,0.953,14.8437
Axis Flexi Cap Fund,Flexi Cap,Axis Mutual Fund,35196,https://www.etmoney.com/mutual-funds/axis-flexi-cap-fund/portfolio-details/35196,ACTIVE,NIFTY 500 TRI,12546,1.71,2017-10-30,23.0,21.0,2.0,,-0.16,12.46,10.46,11.65,2.0,-1.0,0.6363,1.6423,1.1578,19.3844
Bajaj Finserv Flexi Cap Fund,Flexi Cap,Bajaj Finserv Mutual Fund,44044,https://www.etmoney.com/mutual-funds/bajaj-finserv-flexi-cap-fund/portfolio-details/44044,ACTIVE,BSE 500 TRI,6953,4.1,2023-07-24,,5.0,4.0,,5.72,,,14.28,0.0,0.0,0.0,0.0,0.0,0.0
Bandhan Flexi Cap Fund,Flexi Cap,Bandhan Mutual Fund,2698,https://www.etmoney.com/mutual-funds/bandhan-flexi-cap-fund/portfolio-details/2698,ACTIVE,BSE 500 TRI,7285,2.17,2005-09-05,17.0,16.0,3.0,,0.28,13.47,12.39,15.74,3.0,20.0,0.6363,1.6423,1.1578,19.3844
Bank of India Flexi Cap Fund,Flexi Cap,Bank Of India Mutual Fund,41487,https://www.etmoney.com/mutual-funds/bank-of-india-flexi-cap-fund/portfolio-details/41487,ACTIVE,BSE 500 TRI,2388,2.96,2020-06-10,1.0,1.0,5.0,,10.17,20.93,18.12,24.15,4.0,6.0,0.8282,5.4892,1.1102,19.0072
Baroda BNP Paribas Flexi Cap Fund,Flexi Cap,Baroda BNP Paribas Mutual Fund,42759,https://www.etmoney.com/mutual-funds/baroda-bnp-paribas-flexi-cap-fund/portfolio-details/42759,ACTIVE,NIFTY 500 TRI,1200,2.2,2022-07-25,15.0,13.0,3.0,,1.18,13.74,,12.1,3.0,-1.0,0.5807,0.0215,0.9984,15.9124
Canara Robeco Flexi Cap Fund,Flexi Cap,Canara Robeco Mutual Fund,1674,https://www.etmoney.com/mutual-funds/canara-robeco-flexi-cap-fund/portfolio-details/1674,ACTIVE,BSE 500 TRI,13083,1.88,2003-08-29,25.0,19.0,2.0,,-0.01,11.95,11.95,16.62,2.0,-1.0,0.5417,-0.7082,0.9328,14.5952
Capitalmind Flexi Cap Fund,Flexi Cap,Capitalmind Mutual Fund,45662,https://www.etmoney.com/mutual-funds/capitalmind-flexi-cap-fund/portfolio-details/45662,ACTIVE,NIFTY 500 TRI,425,3.08,2025-07-18,,,,-0.02,,,,-1.41,,,0.6363,1.6423,1.1578,19.3844
DSP Flexi Cap Fund,Flexi Cap,DSP Mutual Fund,5050,https://www.etmoney.com/mutual-funds/dsp-flexi-cap-fund/portfolio-details/5050,ACTIVE,NIFTY 500 TRI,11769,2.23,2007-06-07,19.0,29.0,3.0,,-2.03,13.41,11.9,12.82,3.0,13.0,0.6363,1.6423,1.1578,19.3844
Edelweiss Flexi Cap Fund,Flexi Cap,Edelweiss Mutual Fund,28768,https://www.etmoney.com/mutual-funds/edelweiss-flexi-cap-fund/portfolio-details/28768,ACTIVE,NIFTY 500 TRI,3320,1.92,2015-01-13,12.0,12.0,3.0,,2.28,15.79,14.68,12.39,5.0,-1.0,0.7231,2.1195,0.9853,15.5139
Franklin India Flexi Cap Fund,Flexi Cap,Franklin Templeton Mutual Fund,31895,https://www.etmoney.com/mutual-funds/franklin-india-flexi-cap-fund/portfolio-details/31895,ACTIVE,NIFTY 500 TRI,19049,1.71,1994-09-19,14.0,33.0,3.0,,-4.64,14.29,14.36,17.63,3.0,4.0,0.6363,1.6423,1.1578,19.3844
HDFC Flexi Cap Fund,Flexi Cap,HDFC Mutual Fund,31998,https://www.etmoney.com/mutual-funds/hdfc-flexi-cap-fund/portfolio-details/31998,ACTIVE,NIFTY 500 TRI,100479,1.27,1994-12-08,6.0,23.0,4.0,,-0.76,17.39,18.27,18.49,4.0,1.0,0.9361,4.7009,0.8195,13.106
HSBC Flexi Cap Fund,Flexi Cap,HSBC Mutual Fund,1898,https://www.etmoney.com/mutual-funds/hsbc-flexi-cap-fund/portfolio-details/1898,ACTIVE,NIFTY 500 TRI,5405,2.3,2004-01-22,7.0,10.0,4.0,,3.72,17.19,15.21,14.87,4.0,-1.0,0.7193,2.4673,1.0824,17.3268
Helios Flexi Cap Fund,Flexi Cap,Helios Mutual Fund,44218,https://www.etmoney.com/mutual-funds/helios-flexi-cap-fund/portfolio-details/44218,ACTIVE,NIFTY 500 TRI,6763,1.79,2023-10-23,,3.0,5.0,,6.29,,,14.62,0.0,0.0,0.0,0.0,0.0,0.0
ICICI Prudential Flexicap Fund,Flexi Cap,ICICI Prudential Mutual Fund,41991,https://www.etmoney.com/mutual-funds/icici-prudential-flexicap-fund/portfolio-details/41991,ACTIVE,BSE 500 TRI,20936,1.63,2021-06-28,11.0,9.0,3.0,,4.54,15.97,,13.79,4.0,-1.0,0.6363,1.6423,1.1578,19.3844
ITI Flexi Cap Fund,Flexi Cap,ITI Mutual Fund,43551,https://www.etmoney.com/mutual-funds/iti-flexi-cap-fund/portfolio-details/43551,ACTIVE,NIFTY 500 TRI,1290,2.52,2023-01-27,2.0,4.0,5.0,,5.78,18.33,,19.73,5.0,0.0,0.7934,3.8915,1.0756,17.4232
Invesco India Flexi Cap Fund,Flexi Cap,Invesco Mutual Fund,42467,https://www.etmoney.com/mutual-funds/invesco-india-flexi-cap-fund/portfolio-details/42467,ACTIVE,BSE 500 TRI,4816,1.86,2022-01-24,4.0,25.0,4.0,,-1.01,17.69,,14.35,4.0,-1.0,0.742,3.1449,1.0476,17.2767
JM Flexicap Fund,Flexi Cap,JM Financial Mutual Fund,8402,https://www.etmoney.com/mutual-funds/jm-flexicap-fund/portfolio-details/8402,ACTIVE,BSE 500 TRI,5041,2.58,2008-07-31,5.0,30.0,4.0,,-2.8,17.47,17.11,13.51,4.0,3.0,0.7218,2.8845,1.0594,17.5496
Kotak Flexicap Fund,Flexi Cap,Kotak Mahindra Mutual Fund,10258,https://www.etmoney.com/mutual-funds/kotak-flexicap-fund/portfolio-details/10258,ACTIVE,NIFTY 500 TRI,54839,1.42,2009-07-22,18.0,15.0,3.0,,0.59,13.43,12.79,13.34,3.0,8.0,0.6363,1.6423,1.1578,19.3844
LIC MF Flexi Cap Fund,Flexi Cap,LIC Mutual Fund,31913,https://www.etmoney.com/mutual-funds/lic-mf-flexi-cap-fund/portfolio-details/31913,ACTIVE,NIFTY 500 TRI,973,3.5,1993-01-11,27.0,6.0,2.0,,5.37,11.27,10.81,7.06,2.0,18.0,0.4222,-2.2906,0.985,16.1187
Mahindra Manulife Flexi Cap Fund,Flexi Cap,Mahindra Manulife Mutual Fund,42099,https://www.etmoney.com/mutual-funds/mahindra-manulife-flexi-cap-fund/portfolio-details/42099,ACTIVE,NIFTY 500 TRI,1542,2.07,2021-07-30,24.0,31.0,2.0,,-3.35,12.07,,9.27,3.0,-1.0,0.6363,1.6423,1.1578,19.3844
Mirae Asset Flexi Cap Fund,Flexi Cap,Mirae Asset Mutual Fund,43565,https://www.etmoney.com/mutual-funds/mirae-asset-flexi-cap-fund/portfolio-details/43565,ACTIVE,NIFTY 500 TRI,3960,2.01,2023-02-03,16.0,11.0,3.0,,3.7,13.49,,14.43,3.0,-1.0,0.6363,1.6423,1.1578,19.3844
