scheme_id,mf_scheme_code,isin,et_fund_name,match_score,match_method,matched_at,notes
32420,120594,INF109K01Z48,ICICI Prudential Technology Fund,100.0,auto,2026-05-29T10:42:17.673280+00:00,auto_ok from match report
32451,119218,INF740K01PL6,DSP Large & Mid Cap Fund,100.0,auto,2026-05-29T10:42:17.662999+00:00,auto_ok from match report
32470,131670,INF084M01DJ5,Aditya Birla Sun Life Balanced Advantage Fund,100.0,auto,2026-05-29T10:42:17.658265+00:00,auto_ok from match report
32489,120847,INF966L01986,,100.0,manual,2026-05-29T10:10:59.539161+00:00,bulk_grid
32508,118968,INF179K01WA6,,92.4,manual,2026-05-29T09:39:28.139444+00:00,bulk_grid
32517,119060,INF179K01YS4,,98.37,manual,2026-05-29T09:39:28.157446+00:00,bulk_grid
32603,120819,INF966L01556,Quant Aggressive Hybrid Fund,100.0,auto,2026-05-29T10:42:17.656606+00:00,auto_ok from match report
32605,120823,INF966L01614,Quant Multi Cap Fund,100.0,auto,2026-05-29T10:42:17.669275+00:00,auto_ok from match report
32607,120821,INF966L01580,Quant Multi Asset Allocation Fund,100.0,auto,2026-05-29T10:42:17.667452+00:00,auto_ok from match report
32611,120841,INF966L01887,Quant Mid Cap Fund,100.0,auto,2026-05-29T10:42:17.666195+00:00,auto_ok from match report
33105,139527,INF761K01DM6,,92.24,manual,2026-05-29T09:39:28.100906+00:00,bulk_grid
33387,139781,INF174V01093,Mahindra Manulife ELSS Tax Saver Fund,100.0,auto,2026-05-29T10:42:17.660319+00:00,auto_ok from match report
33424,139872,INF247L01635,,97.06,manual,2026-05-29T09:39:28.143919+00:00,bulk_grid
33736,150251,INF251K01OT0,Baroda BNP Paribas Arbitrage Fund,100.0,auto,2026-05-29T10:42:17.657089+00:00,auto_ok from match report
33762,140382,INF194KA1U56,,85.9,manual,2026-05-29T09:39:28.099089+00:00,bulk_grid
33825,152002,INF397L01JK8,,91.08,manual,2026-05-29T09:39:28.237489+00:00,bulk_grid
34328,150260,INF251K01OZ7,Baroda BNP Paribas Aggressive Hybrid Fund,100.0,auto,2026-05-29T10:42:17.655124+00:00,auto_ok from match report
34465,111549,INF082J01069,Quantum ELSS Tax Saver Fund,100.0,auto,2026-05-29T10:42:17.660579+00:00,auto_ok from match report
34477,141226,INF174V01341,Mahindra Manulife Multi Cap Fund,100.0,auto,2026-05-29T10:42:17.669022+00:00,auto_ok from match report
34573,141248,INF582M01CU7,Union Largecap Fund,100.0,auto,2026-05-29T10:42:17.665303+00:00,auto_ok from match report
34761,152004,INF397L01JS1,LIC MF Small Cap Fund,100.0,auto,2026-05-29T10:42:17.674613+00:00,auto_ok from match report
34956,141642,INF846K01A29,Axis Balanced Advantage Fund,100.0,auto,2026-05-29T10:42:17.658316+00:00,auto_ok from match report
35196,141925,INF846K01B28,Axis Flexi Cap Fund,100.0,auto,2026-05-29T10:42:17.661053+00:00,auto_ok from match report
35346,142038,INF582M01DE9,Union Balanced Advantage Fund,100.0,auto,2026-05-29T10:42:17.659463+00:00,auto_ok from match report
35440,142110,INF174V01507,Mahindra Manulife Mid Cap Fund,100.0,auto,2026-05-29T10:42:17.666040+00:00,auto_ok from match report
35592,142283,INF740KA1DN4,DSP Arbitrage Fund,100.0,auto,2026-05-29T10:42:17.657144+00:00,auto_ok from match report
36421,143163,INF959L01CX3,Navi Aggressive Hybrid Fund,100.0,auto,2026-05-29T10:42:17.656435+00:00,auto_ok from match report
36872,143614,INF761K01ED3,,84.7,manual,2026-05-29T09:39:28.110750+00:00,bulk_grid
37022,143537,INF205K014Q7,Invesco India Aggressive Hybrid Fund,100.0,auto,2026-05-29T10:42:17.655904+00:00,auto_ok from match report
37164,143793,INF959L01DT9,Navi Flexi Cap Fund,100.0,auto,2026-05-29T10:42:17.662015+00:00,auto_ok from match report
37558,144335,INF174KA1210,Kotak Balanced Advantage Fund,100.0,auto,2026-05-29T10:42:17.658881+00:00,auto_ok from match report
37614,144394,INF846K01E25,Axis Aggressive Hybrid Fund,100.0,auto,2026-05-29T10:42:17.655045+00:00,auto_ok from match report
37919,144546,INF277K015K0,Tata Flexi Cap Fund,100.0,auto,2026-05-29T10:42:17.662330+00:00,auto_ok from match report
38316,145110,INF846K01J46,,100.0,manual,2026-05-29T10:10:59.555790+00:00,bulk_grid
38320,145137,INF205K013T3,Invesco India Smallcap Fund,100.0,auto,2026-05-29T10:42:17.674506+00:00,auto_ok from match report
38468,145206,INF277K011O1,Tata Small Cap Fund,100.0,auto,2026-05-29T10:42:17.675103+00:00,auto_ok from match report
38590,145396,INF955L01HF7,Baroda BNP Paribas Balanced Advantage Fund,100.0,auto,2026-05-29T10:42:17.658419+00:00,auto_ok from match report
38760,145678,INF761K01EP7,,84.67,manual,2026-05-29T09:39:28.284284+00:00,bulk_grid
38979,145724,INF277K017Q3,Tata Arbitrage Fund,100.0,auto,2026-05-29T10:42:17.658055+00:00,auto_ok from match report
39178,145895,INF767K01PP0,LIC MF Arbitrage Fund,100.0,auto,2026-05-29T10:42:17.657635+00:00,auto_ok from match report
39184,146010,INF277K013S8,Tata Balanced Advantage Fund,100.0,auto,2026-05-29T10:42:17.659357+00:00,auto_ok from match report
