fund_name,category,fund_house,scheme_id,url,status,benchmark,aum_cr,expense_ratio,launch_date,holdings_rows,rank_3y,rank_1y,star_rating,return_since_inception_new,return_1y,return_3y,return_5y,return_since_inception,consistency_score,category_rank,sharpe_ratio,alpha,beta,std_dev,notes
Axis BSE Sensex Index Fund,Large Cap Index,Axis Mutual Fund,44513,https://www.etmoney.com/mutual-funds/axis-bse-sensex-index-fund/portfolio-details/44513,INDEX_DEFERRED,BSE Sensex TRI,52.0,0.71,2024-02-08,,,,,2.16,-7.13,,,,0.0,-1.0,,,,,Unmapped index — deferred until index MFAPI scrape pass
Axis Nifty 100 Index Fund,Large Cap Index,Axis Mutual Fund,40769,https://www.etmoney.com/mutual-funds/axis-nifty-100-index-fund/portfolio-details/40769,INDEX_DEFERRED,NIFTY 100 TRI,1975.0,0.93,2019-09-27,,,,,11.89,-3.06,10.71,9.95,,3.0,-1.0,,,,,Unmapped index — deferred until index MFAPI scrape pass
Axis Nifty 50 Index Fund,Large Cap Index,Axis Mutual Fund,42323,https://www.etmoney.com/mutual-funds/axis-nifty-50-index-fund/portfolio-details/42323,INDEX_DEFERRED,Nifty 50 Total Return,972.0,0.52,2021-11-15,,,,,7.72,-4.0,9.6,,,2.0,-1.0,,,,,Unmapped index — deferred until index MFAPI scrape pass
Axis Nifty Next 50 Index Fund,Large Cap Index,Axis Mutual Fund,42409,https://www.etmoney.com/mutual-funds/axis-nifty-next-50-index-fund/portfolio-details/42409,INDEX_DEFERRED,NIFTY Next 50 TRI,475.0,1.04,2022-01-07,,,,,12.05,3.58,18.89,,,4.0,-1.0,,,,,Unmapped index — deferred until index MFAPI scrape pass
Bajaj Finserv Nifty 50 Index Fund,Large Cap Index,Bajaj Finserv Mutual Fund,45481,https://www.etmoney.com/mutual-funds/bajaj-finserv-nifty-50-index-fund/portfolio-details/45481,INDEX_DEFERRED,Nifty 50 Total Return,38.0,1.06,2025-04-25,,,,,-5.25,-4.77,,,,0.0,-1.0,,,,,Unmapped index — deferred until index MFAPI scrape pass
Bajaj Finserv Nifty Next 50 Index Fund,Large Cap Index,Bajaj Finserv Mutual Fund,45461,https://www.etmoney.com/mutual-funds/bajaj-finserv-nifty-next-50-index-fund/portfolio-details/45461,INDEX_DEFERRED,NIFTY Next 50 TRI,29.0,1.06,2025-04-22,,,,,5.02,2.89,,,,0.0,-1.0,,,,,Unmapped index — deferred until index MFAPI scrape pass
Bandhan Nifty 100 Index Fund,Large Cap Index,Bandhan Mutual Fund,42529,https://www.etmoney.com/mutual-funds/bandhan-nifty-100-index-fund/portfolio-details/42529,INDEX_DEFERRED,NIFTY 100 TRI,234.0,0.62,2022-02-07,,,,,8.96,-2.78,11.0,,,3.0,-1.0,,,,,Unmapped index — deferred until index MFAPI scrape pass
Bandhan Nifty 50 Index Fund,Large Cap Index,Bandhan Mutual Fund,10787,https://www.etmoney.com/mutual-funds/bandhan-nifty-50-index-fund/portfolio-details/10787,INDEX_DEFERRED,Nifty 50 Total Return,2652.0,0.63,2010-04-12,,,,,10.75,-4.2,9.37,9.87,,2.0,-1.0,0.3607,-1.9172,0.9462,13.757,Unmapped index — deferred until index MFAPI scrape pass
Bandhan Nifty Alpha Low Volatility 30 Index Fund,Large Cap Index,Bandhan Mutual Fund,45213,https://www.etmoney.com/mutual-funds/bandhan-nifty-alpha-low-volatility-30-index-fund/portfolio-details/45213,INDEX_DEFERRED,Nifty Alpha Low Volatility 30,9.0,1.03,2025-01-08,,,,,-1.39,-3.99,,,,0.0,-1.0,,,,,Unmapped index — deferred until index MFAPI scrape pass
Bandhan Nifty Next 50 Index Fund,Large Cap Index,Bandhan Mutual Fund,45338,https://www.etmoney.com/mutual-funds/bandhan-nifty-next-50-index-fund/portfolio-details/45338,INDEX_DEFERRED,NIFTY Next 50 TRI,30.0,1.34,2025-02-13,,,,,16.14,3.55,,,,0.0,-1.0,,,,,Unmapped index — deferred until index MFAPI scrape pass
Bandhan Nifty100 Low Volatility 30 Index Fund,Large Cap Index,Bandhan Mutual Fund,42986,https://www.etmoney.com/mutual-funds/bandhan-nifty100-low-volatility-30-index-fund/portfolio-details/42986,INDEX_DEFERRED,NIFTY 100 Low Volatility 30 TRI,1684.0,0.95,2022-09-15,,,,,11.79,-0.8,12.27,,,3.0,-1.0,,,,,Unmapped index — deferred until index MFAPI scrape pass
Baroda BNP Paribas NIFTY 50 Index Fund,Large Cap Index,Baroda BNP Paribas Mutual Fund,44350,https://www.etmoney.com/mutual-funds/baroda-bnp-paribas-nifty-50-index-fund/portfolio-details/44350,INDEX_DEFERRED,Nifty 50 Total Return,57.0,0.56,2024-01-08,,,,,4.64,-4.25,,,,0.0,-1.0,,,,,Unmapped index — deferred until index MFAPI scrape pass
DSP BSE Sensex Next 30 Index Fund,Large Cap Index,DSP Mutual Fund,45225,https://www.etmoney.com/mutual-funds/dsp-bse-sensex-next-30-index-fund/portfolio-details/45225,INDEX_DEFERRED,BSE Sensex Next 30 TRI,21.0,1.02,2025-01-10,,,,,13.27,10.45,,,,0.0,0.0,0.0,0.0,0.0,0.0,Unmapped index — deferred until index MFAPI scrape pass
DSP Nifty 50 Equal Weight Index Fund,Large Cap Index,DSP Mutual Fund,35180,https://www.etmoney.com/mutual-funds/dsp-nifty-50-equal-weight-index-fund/portfolio-details/35180,INDEX_DEFERRED,NIFTY 50 Equal Weight TRI,2523.0,0.95,2017-09-29,,,,,11.67,4.15,15.27,13.85,,5.0,-1.0,0.6837,2.856,0.9898,14.7015,Unmapped index — deferred until index MFAPI scrape pass
DSP Nifty 50 Index Fund,Large Cap Index,DSP Mutual Fund,39611,https://www.etmoney.com/mutual-funds/dsp-nifty-50-index-fund/portfolio-details/39611,INDEX_DEFERRED,Nifty 50 Total Return,1085.0,0.38,2019-02-11,,,,,12.11,-3.91,9.67,10.11,,2.0,-1.0,,,,,Unmapped index — deferred until index MFAPI scrape pass
DSP Nifty Next 50 Index Fund,Large Cap Index,DSP Mutual Fund,39641,https://www.etmoney.com/mutual-funds/dsp-nifty-next-50-index-fund/portfolio-details/39641,INDEX_DEFERRED,NIFTY Next 50 TRI,1261.0,0.98,2019-02-11,,,,,14.57,3.96,19.31,13.53,,4.0,-1.0,0.7467,5.7221,1.3032,20.35,Unmapped index — deferred until index MFAPI scrape pass
DSP Nifty Top 10 Equal Weight Index Fund,Large Cap Index,DSP Mutual Fund,44852,https://www.etmoney.com/mutual-funds/dsp-nifty-top-10-equal-weight-index-fund/portfolio-details/44852,INDEX_DEFERRED,Nifty Top 10 Equal Weight TRI,1224.0,1.04,2024-08-16,,,,,-6.54,-11.7,,,,0.0,-1.0,0.0,0.0,0.0,0.0,Unmapped index — deferred until index MFAPI scrape pass
Edelweiss Nifty 100 Quality 30 Index Fund,Large Cap Index,Edelweiss Mutual Fund,32926,https://www.etmoney.com/mutual-funds/edelweiss-nifty-100-quality-30-index-fund/portfolio-details/32926,INDEX_DEFERRED,NIFTY 100 Quality 30 TRI,148.0,1.04,2016-05-12,,,,,-4.02,-0.7,10.97,-17.55,,3.0,-1.0,0.4647,0.0022,0.9806,15.3475,Unmapped index — deferred until index MFAPI scrape pass
Edelweiss Nifty 50 Index Fund,Large Cap Index,Edelweiss Mutual Fund,29701,https://www.etmoney.com/mutual-funds/edelweiss-nifty-50-index-fund/portfolio-details/29701,INDEX_DEFERRED,Nifty 50 Total Return,286.0,0.46,2015-04-24,,,,,-15.14,-4.06,9.36,-39.42,,2.0,-1.0,,,,,Unmapped index — deferred until index MFAPI scrape pass
Edelweiss Nifty Alpha Low Volatility 30 Index Fund,Large Cap Index,Edelweiss Mutual Fund,44668,https://www.etmoney.com/mutual-funds/edelweiss-nifty-alpha-low-volatility-30-index-fund/portfolio-details/44668,INDEX_DEFERRED,Nifty Alpha Low Volatility 30,97.0,1.05,2024-04-26,,,,,-2.86,-3.91,,,,0.0,-1.0,,,,,Unmapped index — deferred until index MFAPI scrape pass
Edelweiss Nifty Next 50 Index Fund,Large Cap Index,Edelweiss Mutual Fund,43246,https://www.etmoney.com/mutual-funds/edelweiss-nifty-next-50-index-fund/portfolio-details/43246,INDEX_DEFERRED,NIFTY Next 50 TRI,256.0,0.86,2022-11-10,,,,,13.75,3.76,18.9,,,4.0,-1.0,,,,,Unmapped index — deferred until index MFAPI scrape pass
Franklin India NSE Nifty 50 Index,Large Cap Index,Franklin Templeton Mutual Fund,32500,https://www.etmoney.com/mutual-funds/franklin-india-nse-nifty-50-index/portfolio-details/32500,INDEX_DEFERRED,Nifty 50 Total Return,730.0,0.65,2000-06-26,,,,,12.19,-4.09,9.41,9.82,,2.0,-1.0,,,,,Unmapped index — deferred until index MFAPI scrape pass
HDFC BSE Sensex Index Fund,Large Cap Index,HDFC Mutual Fund,1219,https://www.etmoney.com/mutual-funds/hdfc-bse-sensex-index-fund/portfolio-details/1219,INDEX_DEFERRED,BSE Sensex TRI,8512.0,0.36,2002-07-03,,,,,13.77,-7.01,7.52,9.15,,1.0,-1.0,,,,,Unmapped index — deferred until index MFAPI scrape pass
HDFC NIFTY 100 Equal Weight Index Fund,Large Cap Index,HDFC Mutual Fund,42547,https://www.etmoney.com/mutual-funds/hdfc-nifty-100-equal-weight-index-fund/portfolio-details/42547,INDEX_DEFERRED,NIFTY 100 Equal Weight TRI,434.0,0.88,2022-02-11,,,,,12.81,4.26,17.15,,,5.0,0.0,0.718,3.945,1.1434,17.072,Unmapped index — deferred until index MFAPI scrape pass
HDFC NIFTY Next 50 Index Fund,Large Cap Index,HDFC Mutual Fund,42264,https://www.etmoney.com/mutual-funds/hdfc-nifty-next-50-index-fund/portfolio-details/42264,INDEX_DEFERRED,NIFTY Next 50 TRI,2369.0,0.71,2021-10-22,,,,,11.0,3.88,19.06,,,4.0,-1.0,,,,,Unmapped index — deferred until index MFAPI scrape pass
HDFC NIFTY100 Low Volatility 30 Index Fund,Large Cap Index,HDFC Mutual Fund,44764,https://www.etmoney.com/mutual-funds/hdfc-nifty100-low-volatility-30-index-fund/portfolio-details/44764,INDEX_DEFERRED,NIFTY 100 Low Volatility 30 TRI,241.0,0.9,2024-06-21,,,,,0.08,-0.66,,,,0.0,-1.0,,,,,Unmapped index — deferred until index MFAPI scrape pass
HDFC NIFTY50 Equal Weight Index Fund,Large Cap Index,HDFC Mutual Fund,42103,https://www.etmoney.com/mutual-funds/hdfc-nifty50-equal-weight-index-fund/portfolio-details/42103,INDEX_DEFERRED,NIFTY 50 Equal Weight TRI,1730.0,0.97,2021-08-04,,,,,12.94,4.19,15.33,,,5.0,0.0,0.6873,2.9083,0.9902,14.7048,Unmapped index — deferred until index MFAPI scrape pass
HDFC Nifty 100 Index Fund,Large Cap Index,HDFC Mutual Fund,42545,https://www.etmoney.com/mutual-funds/hdfc-nifty-100-index-fund/portfolio-details/42545,INDEX_DEFERRED,NIFTY 100 TRI,424.0,0.75,2022-02-11,,,,,8.84,-2.93,10.83,,,3.0,-1.0,,,,,Unmapped index — deferred until index MFAPI scrape pass
HDFC Nifty 50 Index Fund,Large Cap Index,HDFC Mutual Fund,1218,https://www.etmoney.com/mutual-funds/hdfc-nifty-50-index-fund/portfolio-details/1218,INDEX_DEFERRED,Nifty 50 Total Return,23340.0,0.46,2002-07-03,,,,,13.78,-3.95,9.67,10.09,,2.0,-1.0,0.3806,-1.642,0.9462,13.7566,Unmapped index — deferred until index MFAPI scrape pass
HDFC Nifty Top 20 Equal Weight Index Fund,Large Cap Index,HDFC Mutual Fund,45393,https://www.etmoney.com/mutual-funds/hdfc-nifty-top-20-equal-weight-index-fund/portfolio-details/45393,INDEX_DEFERRED,Nifty Top 20 Equal Weight TRI,84.0,0.84,2025-03-07,,,,,-2.63,-6.72,,,,0.0,-1.0,,,,,Unmapped index — deferred until index MFAPI scrape pass
HDFC Nifty100 Quality 30 Index Fund,Large Cap Index,HDFC Mutual Fund,45269,https://www.etmoney.com/mutual-funds/hdfc-nifty100-quality-30-index-fund/portfolio-details/45269,INDEX_DEFERRED,NIFTY 100 Quality 30 TRI,152.0,0.84,2025-01-31,,,,,4.44,-0.6,,,,0.0,-1.0,0.0,0.0,0.0,0.0,Unmapped index — deferred until index MFAPI scrape pass
HSBC Nifty 50 Index Fund,Large Cap Index,HSBC Mutual Fund,41441,https://www.etmoney.com/mutual-funds/hsbc-nifty-50-index-fund/portfolio-details/41441,INDEX_DEFERRED,Nifty 50 Total Return,373.0,0.62,2020-03-24,,,,,17.25,-3.87,9.65,10.02,,2.0,-1.0,,,,,Unmapped index — deferred until index MFAPI scrape pass
HSBC Nifty Next 50 Index Fund,Large Cap Index,HSBC Mutual Fund,41445,https://www.etmoney.com/mutual-funds/hsbc-nifty-next-50-index-fund/portfolio-details/41445,INDEX_DEFERRED,NIFTY Next 50 TRI,148.0,0.71,2020-03-24,,,,,19.09,3.53,18.84,13.04,,4.0,-1.0,,,,,Unmapped index — deferred until index MFAPI scrape pass
ICICI Prudential BSE Sensex Index Fund,Large Cap Index,ICICI Prudential Mutual Fund,35134,https://www.etmoney.com/mutual-funds/icici-prudential-bse-sensex-index-fund/portfolio-details/35134,INDEX_DEFERRED,BSE Sensex TRI,1834.0,0.3,2017-09-14,,,,,11.17,-6.92,7.63,9.21,,1.0,-1.0,,,,,Unmapped index — deferred until index MFAPI scrape pass
ICICI Prudential Nifty 50 Index Fund,Large Cap Index,ICICI Prudential Mutual Fund,1088,https://www.etmoney.com/mutual-funds/icici-prudential-nifty-50-index-fund/portfolio-details/1088,INDEX_DEFERRED,Nifty 50 Total Return,16563.0,0.41,2002-02-15,,,,,14.02,-3.95,9.65,10.08,,2.0,-1.0,,,,,Unmapped index — deferred until index MFAPI scrape pass
ICICI Prudential Nifty Next 50 Index Fund,Large Cap Index,ICICI Prudential Mutual Fund,10863,https://www.etmoney.com/mutual-funds/icici-prudential-nifty-next-50-index-fund/portfolio-details/10863,INDEX_DEFERRED,NIFTY Next 50 TRI,8900.0,0.7,2010-06-10,,,,,12.04,3.84,19.18,13.33,,4.0,-1.0,0.7408,5.607,1.3031,20.3567,Unmapped index — deferred until index MFAPI scrape pass
ICICI Prudential Nifty Top 15 Equal Weight Index Fund,Large Cap Index,ICICI Prudential Mutual Fund,45586,https://www.etmoney.com/mutual-funds/icici-prudential-nifty-top-15-equal-weight-index-fund/portfolio-details/45586,INDEX_DEFERRED,Nifty Top 15 Equal Weight TRI,26.0,0.91,2025-06-10,,,,,-8.69,,,,,,,,,,,Unmapped index — deferred until index MFAPI scrape pass
ICICI Prudential Nifty50 Equal Weight Index Fund,Large Cap Index,ICICI Prudential Mutual Fund,42990,https://www.etmoney.com/mutual-funds/icici-prudential-nifty50-equal-weight-index-fund/portfolio-details/42990,INDEX_DEFERRED,NIFTY 50 Equal Weight TRI,242.0,1.09,2022-09-14,,,,,14.07,3.99,15.11,,,5.0,-1.0,,,,,Unmapped index — deferred until index MFAPI scrape pass
ICICI Prudential Nifty50 Value 20 Index Fund,Large Cap Index,ICICI Prudential Mutual Fund,44433,https://www.etmoney.com/mutual-funds/icici-prudential-nifty50-value-20-index-fund/portfolio-details/44433,INDEX_DEFERRED,NIFTY 50 Value 20 TRI,99.0,0.63,2024-01-15,,,,,0.54,-6.1,,,,0.0,-1.0,0.0,0.0,0.0,0.0,Unmapped index — deferred until index MFAPI scrape pass
Kotak BSE Sensex Index Fund,Large Cap Index,Kotak Mahindra Mutual Fund,45261,https://www.etmoney.com/mutual-funds/kotak-bse-sensex-index-fund/portfolio-details/45261,INDEX_DEFERRED,BSE Sensex TRI,20.0,0.54,2025-01-27,,,,,0.21,-7.1,,,,0.0,-1.0,,,,,Unmapped index — deferred until index MFAPI scrape pass
Kotak NIFTY 100 Low Volatility 30 Index Fund,Large Cap Index,Kotak Mahindra Mutual Fund,44709,https://www.etmoney.com/mutual-funds/kotak-nifty-100-low-volatility-30-index-fund/portfolio-details/44709,INDEX_DEFERRED,NIFTY 100 Low Volatility 30 TRI,121.0,3.59,2024-05-22,,,,,1.82,-0.81,,,,0.0,-1.0,,,,,Unmapped index — deferred until index MFAPI scrape pass
Kotak Nifty 100 Equal Weight Index Fund,Large Cap Index,Kotak Mahindra Mutual Fund,45153,https://www.etmoney.com/mutual-funds/kotak-nifty-100-equal-weight-index-fund/portfolio-details/45153,INDEX_DEFERRED,NIFTY 100 Equal Weight TRI,42.0,0.8,2024-12-02,,,,,4.8,4.22,,,,0.0,0.0,0.0,0.0,0.0,0.0,Unmapped index — deferred until index MFAPI scrape pass
Kotak Nifty 50 Equal Weight Index Fund,Large Cap Index,Kotak Mahindra Mutual Fund,45157,https://www.etmoney.com/mutual-funds/kotak-nifty-50-equal-weight-index-fund/portfolio-details/45157,INDEX_DEFERRED,NIFTY 50 Equal Weight TRI,59.0,1.92,2024-12-02,,,,,6.63,3.97,,,,0.0,-1.0,,,,,Unmapped index — deferred until index MFAPI scrape pass
Kotak Nifty 50 Index Fund,Large Cap Index,Kotak Mahindra Mutual Fund,41983,https://www.etmoney.com/mutual-funds/kotak-nifty-50-index-fund/portfolio-details/41983,INDEX_DEFERRED,Nifty 50 Total Return,1104.0,0.44,2021-05-31,,,,,9.14,-3.96,9.45,,,2.0,-1.0,,,,,Unmapped index — deferred until index MFAPI scrape pass
Kotak Nifty Next 50 Index Fund,Large Cap Index,Kotak Mahindra Mutual Fund,41793,https://www.etmoney.com/mutual-funds/kotak-nifty-next-50-index-fund/portfolio-details/41793,INDEX_DEFERRED,NIFTY Next 50 TRI,1067.0,0.9,2021-02-17,,,,,14.72,3.96,19.22,13.49,,4.0,-1.0,0.7442,5.6513,1.2984,20.279,Unmapped index — deferred until index MFAPI scrape pass
Kotak Nifty Top 10 Equal Weight Index Fund,Large Cap Index,Kotak Mahindra Mutual Fund,45449,https://www.etmoney.com/mutual-funds/kotak-nifty-top-10-equal-weight-index-fund/portfolio-details/45449,INDEX_DEFERRED,Nifty Top 10 Equal Weight TRI,39.0,1.0,2025-04-07,,,,,-10.41,-11.76,,,,0.0,-1.0,0.0,0.0,0.0,0.0,Unmapped index — deferred until index MFAPI scrape pass
LIC MF BSE Sensex Index Fund,Large Cap Index,LIC Mutual Fund,1326,https://www.etmoney.com/mutual-funds/lic-mf-bse-sensex-index-fund/portfolio-details/1326,INDEX_DEFERRED,BSE Sensex TRI,91.0,1.05,2002-11-14,,,,,12.37,-7.58,6.79,8.45,,1.0,-1.0,,,,,Unmapped index — deferred until index MFAPI scrape pass
LIC MF Nifty 50 Index Fund,Large Cap Index,LIC Mutual Fund,1325,https://www.etmoney.com/mutual-funds/lic-mf-nifty-50-index-fund/portfolio-details/1325,INDEX_DEFERRED,Nifty 50 Total Return,360.0,1.06,2002-11-14,,,,,12.01,-4.6,8.9,9.37,,2.0,-1.0,,,,,Unmapped index — deferred until index MFAPI scrape pass
LIC MF Nifty Next 50 Index Fund,Large Cap Index,LIC Mutual Fund,11114,https://www.etmoney.com/mutual-funds/lic-mf-nifty-next-50-index-fund/portfolio-details/11114,INDEX_DEFERRED,NIFTY Next 50 TRI,103.0,1.05,2010-09-02,,,,,11.0,3.88,18.95,13.22,,4.0,-1.0,0.7332,5.4268,1.2973,20.2638,Unmapped index — deferred until index MFAPI scrape pass
Mirae Asset Nifty 50 Index Fund,Large Cap Index,Mirae Asset Mutual Fund,44977,https://www.etmoney.com/mutual-funds/mirae-asset-nifty-50-index-fund/portfolio-details/44977,INDEX_DEFERRED,Nifty 50 Total Return,61.0,0.72,2024-10-10,,,,,-1.28,-4.36,,,,0.0,-1.0,,,,,Unmapped index — deferred until index MFAPI scrape pass
Motilal Oswal Nifty 50 Index Fund,Large Cap Index,Motilal Oswal Mutual Fund,40943,https://www.etmoney.com/mutual-funds/motilal-oswal-nifty-50-index-fund/portfolio-details/40943,INDEX_DEFERRED,Nifty 50 Total Return,870.0,0.66,2019-12-03,,,,,11.63,-4.08,9.5,9.9,,2.0,-1.0,,,,,Unmapped index — deferred until index MFAPI scrape pass
Motilal Oswal Nifty Next 50 Index Fund,Large Cap Index,Motilal Oswal Mutual Fund,40941,https://www.etmoney.com/mutual-funds/motilal-oswal-nifty-next-50-index-fund/portfolio-details/40941,INDEX_DEFERRED,NIFTY Next 50 TRI,451.0,1.06,2019-12-03,,,,,14.59,3.59,18.91,13.07,,4.0,-1.0,,,,,Unmapped index — deferred until index MFAPI scrape pass
Navi BSE Sensex Index Fund,Large Cap Index,Navi Mutual Fund,44129,https://www.etmoney.com/mutual-funds/navi-bse-sensex-index-fund/portfolio-details/44129,INDEX_DEFERRED,BSE Sensex TRI,20.0,1.05,2023-08-21,,,,,5.19,-7.39,,,,0.0,-1.0,,,,,Unmapped index — deferred until index MFAPI scrape pass
Navi Nifty 50 Index Fund,Large Cap Index,Navi Mutual Fund,42041,https://www.etmoney.com/mutual-funds/navi-nifty-50-index-fund/portfolio-details/42041,INDEX_DEFERRED,Nifty 50 Total Return,3920.0,0.32,2021-07-03,,,,,9.3,-3.88,9.7,,,2.0,-1.0,,,,,Unmapped index — deferred until index MFAPI scrape pass
Navi Nifty Next 50 Index Fund,Large Cap Index,Navi Mutual Fund,42401,https://www.etmoney.com/mutual-funds/navi-nifty-next-50-index-fund/portfolio-details/42401,INDEX_DEFERRED,NIFTY Next 50 TRI,1193.0,1.07,2022-01-01,,,,,11.66,3.48,18.97,,,4.0,-1.0,,,,,Unmapped index — deferred until index MFAPI scrape pass
Nippon India BSE Sensex Next 30 Index Fund,Large Cap Index,Nippon India Mutual Fund,45545,https://www.etmoney.com/mutual-funds/nippon-india-bse-sensex-next-30-index-fund/portfolio-details/45545,INDEX_DEFERRED,BSE Sensex Next 30 TRI,79.0,0.68,2025-05-21,,,,,10.7,,,,,,,0.0,0.0,0.0,0.0,Unmapped index — deferred until index MFAPI scrape pass
Nippon India Index Fund - Nifty 50 Plan,Large Cap Index,Nippon India Mutual Fund,11147,https://www.etmoney.com/mutual-funds/nippon-india-index-fund-nifty-50-plan/portfolio-details/11147,INDEX_DEFERRED,Nifty 50 Total Return,3663.0,0.51,2010-09-09,,,,,9.29,-4.0,9.52,9.78,,2.0,-1.0,,,,,Unmapped index — deferred until index MFAPI scrape pass
Nippon India Index Fund BSE Sensex Plan,Large Cap Index,Nippon India Mutual Fund,11152,https://www.etmoney.com/mutual-funds/nippon-india-index-fund-bse-sensex-plan/portfolio-details/11152,INDEX_DEFERRED,BSE Sensex TRI,916.0,0.51,2010-09-09,,,,,8.97,-7.1,7.37,8.96,,1.0,-1.0,,,,,Unmapped index — deferred until index MFAPI scrape pass
Nippon India Nifty 50 Value 20 Index Fund,Large Cap Index,Nippon India Mutual Fund,41757,https://www.etmoney.com/mutual-funds/nippon-india-nifty-50-value-20-index-fund/portfolio-details/41757,INDEX_DEFERRED,NIFTY 50 Value 20 TRI,947.0,0.79,2021-02-04,,,,,11.05,-6.25,9.32,10.61,,3.0,-1.0,0.3721,-2.478,0.8377,14.129,Unmapped index — deferred until index MFAPI scrape pass
Nippon India Nifty Alpha Low Volatility 30 Index Fund,Large Cap Index,Nippon India Mutual Fund,42855,https://www.etmoney.com/mutual-funds/nippon-india-nifty-alpha-low-volatility-30-index-fund/portfolio-details/42855,INDEX_DEFERRED,Nifty Alpha Low Volatility 30 TRI,1329.0,0.87,2022-08-01,,,,,11.65,-3.81,12.88,,,3.0,-1.0,,,,,Unmapped index — deferred until index MFAPI scrape pass
SBI BSE Sensex Index Fund,Large Cap Index,SBI Mutual Fund,43931,https://www.etmoney.com/mutual-funds/sbi-bse-sensex-index-fund/portfolio-details/43931,INDEX_DEFERRED,BSE Sensex TRI,313.0,0.4,2023-05-18,,,,,7.04,-7.13,,,,0.0,-1.0,,,,,Unmapped index — deferred until index MFAPI scrape pass
SBI Nifty Index Fund,Large Cap Index,SBI Mutual Fund,1016,https://www.etmoney.com/mutual-funds/sbi-nifty-index-fund/portfolio-details/1016,INDEX_DEFERRED,Nifty 50 Total Return,13368.0,0.44,2001-12-18,,,,,13.47,-4.03,9.56,9.98,,2.0,-1.0,,,,,Unmapped index — deferred until index MFAPI scrape pass
SBI Nifty Next 50 Index Fund,Large Cap Index,SBI Mutual Fund,41958,https://www.etmoney.com/mutual-funds/sbi-nifty-next-50-index-fund/portfolio-details/41958,INDEX_DEFERRED,NIFTY Next 50 TRI,2029.0,0.71,2021-04-28,,,,,13.32,3.89,19.21,,,4.0,-1.0,0.7418,5.6222,1.3027,20.3463,Unmapped index — deferred until index MFAPI scrape pass
SBI Nifty100 Low Volatility 30 Index Fund,Large Cap Index,SBI Mutual Fund,45694,https://www.etmoney.com/mutual-funds/sbi-nifty100-low-volatility-30-index-fund/portfolio-details/45694,INDEX_DEFERRED,Nifty 100 Low Volatility 30 Index,61.0,0.77,2025-07-08,,,,,-2.2,,,,,,,,,,,Unmapped index — deferred until index MFAPI scrape pass
SBI Nifty50 Equal Weight Index Fund,Large Cap Index,SBI Mutual Fund,44438,https://www.etmoney.com/mutual-funds/sbi-nifty50-equal-weight-index-fund/portfolio-details/44438,INDEX_DEFERRED,NIFTY 50 Equal Weight TRI,1043.0,0.96,2024-01-16,,,,,7.01,4.15,,,,0.0,-1.0,,,,,Unmapped index — deferred until index MFAPI scrape pass
Sundaram Nifty 100 Equal Weight Fund,Large Cap Index,Sundaram Mutual Fund,32325,https://www.etmoney.com/mutual-funds/sundaram-nifty-100-equal-weight-fund/portfolio-details/32325,INDEX_DEFERRED,NIFTY 100 Equal Weight TRI,138.0,1.06,1999-06-16,,,,,11.21,4.28,16.89,13.01,,5.0,0.0,0.7148,3.8247,1.1177,16.7178,Unmapped index — deferred until index MFAPI scrape pass
Tata BSE Sensex Index Fund,Large Cap Index,Tata Mutual Fund,1397,https://www.etmoney.com/mutual-funds/tata-bse-sensex-index-fund/portfolio-details/1397,INDEX_DEFERRED,BSE Sensex TRI,385.0,0.6,2003-02-20,,,,,14.27,-7.22,7.26,8.83,,1.0,-1.0,,,,,Unmapped index — deferred until index MFAPI scrape pass
Tata Nifty Next 50 Index Fund,Large Cap Index,Tata Mutual Fund,45823,https://www.etmoney.com/mutual-funds/tata-nifty-next-50-index-fund/portfolio-details/45823,INDEX_DEFERRED,NIFTY Next 50 TRI,117.0,1.08,2025-09-12,,,,,0.73,,,,,,,,,,,Unmapped index — deferred until index MFAPI scrape pass
UTI BSE Sensex Index Fund,Large Cap Index,UTI Mutual Fund,42492,https://www.etmoney.com/mutual-funds/uti-bse-sensex-index-fund/portfolio-details/42492,INDEX_DEFERRED,BSE Sensex TRI,200.0,0.3,2022-01-19,,,,,6.85,-6.91,7.6,,,1.0,-1.0,,,,,Unmapped index — deferred until index MFAPI scrape pass
UTI NIFTY50 Equal Weight Index Fund,Large Cap Index,UTI Mutual Fund,43929,https://www.etmoney.com/mutual-funds/uti-nifty50-equal-weight-index-fund/portfolio-details/43929,INDEX_DEFERRED,NIFTY 50 Equal Weight TRI,136.0,0.9,2023-05-22,,,,,14.33,4.26,,,,0.0,0.0,0.0,0.0,0.0,0.0,Unmapped index — deferred until index MFAPI scrape pass
UTI Nifty 50 Index Fund,Large Cap Index,UTI Mutual Fund,32438,https://www.etmoney.com/mutual-funds/uti-nifty-50-index-fund/portfolio-details/32438,INDEX_DEFERRED,Nifty 50 Total Return,27849.0,0.38,2000-02-14,,,,,11.52,-3.86,9.75,10.2,,2.0,-1.0,0.386,-1.5687,0.9464,13.7603,Unmapped index — deferred until index MFAPI scrape pass
