fund_name,category,fund_house,scheme_id,url,status,benchmark,aum_cr,expense_ratio,launch_date,holdings_rows,rank_3y,rank_1y,star_rating,return_since_inception_new,return_1y,return_3y,return_5y,return_since_inception,consistency_score,category_rank,sharpe_ratio,alpha,beta,std_dev,notes
Franklin U.S. Opportunities Equity Active FoF,International,Franklin Templeton Mutual Fund,13587,https://www.etmoney.com/mutual-funds/franklin-us-opportunities-equity-active-fof/portfolio-details/13587,NO_HOLDINGS,Russell 3000 Growth TRI,5190.0,1.47,2012-01-17,0.0,,,,,,,,,,,,,,,
HDFC Developed World Overseas Equity Passive FoF,International,HDFC Mutual Fund,42181,https://www.etmoney.com/mutual-funds/hdfc-developed-world-overseas-equity-passive-fof/portfolio-details/42181,NO_HOLDINGS,MSCI World,1623.0,0.63,2021-09-17,0.0,,,,,,,,,,,,,,,
HSBC Asia Pacific (Ex Japan) Dividend Yield Fund,International,HSBC Mutual Fund,23466,https://www.etmoney.com/mutual-funds/hsbc-asia-pacific-ex-japan-dividend-yield-fund/portfolio-details/23466,NO_HOLDINGS,MSCI AC Asia Pacific Ex-Japan,71.0,1.38,2014-02-03,0.0,,,,,,,,,,,,,,,
HSBC Brazil Fund,International,HSBC Mutual Fund,12224,https://www.etmoney.com/mutual-funds/hsbc-brazil-fund/portfolio-details/12224,NO_HOLDINGS,MSCI Brazil 10/40 TRI,396.0,1.44,2011-04-15,0.0,,,,,,,,,,,,,,,
HSBC Global Emerging Markets Fund,International,HSBC Mutual Fund,6562,https://www.etmoney.com/mutual-funds/hsbc-global-emerging-markets-fund/portfolio-details/6562,NO_HOLDINGS,MSCI Emerging Markets TRI,456.0,1.44,2008-01-28,0.0,,,,,,,,,,,,,,,
ICICI Prudential Global Advantage Fund (FOF),International,ICICI Prudential Mutual Fund,40753,https://www.etmoney.com/mutual-funds/icici-prudential-global-advantage-fund-fof/portfolio-details/40753,NO_HOLDINGS,,390.0,1.25,2019-09-16,0.0,,,,,,,,,,,,,,,
ICICI Prudential Strategic Metal and Energy Equity FoF,International,ICICI Prudential Mutual Fund,42488,https://www.etmoney.com/mutual-funds/icici-prudential-strategic-metal-and-energy-equity-fof/portfolio-details/42488,NO_HOLDINGS,,292.0,1.48,2022-01-17,0.0,,,,,,,,,,,,,,,
Invesco India - Invesco Global Consumer Trends FoF,International,Invesco Mutual Fund,41695,https://www.etmoney.com/mutual-funds/invesco-india-invesco-global-consumer-trends-fof/portfolio-details/41695,NO_HOLDINGS,MSCI World CD - ND TRI,549.0,1.46,2020-12-04,0.0,,,,,,,,,,,,,,,
Invesco India - Invesco Global Equity Income FoF,International,Invesco Mutual Fund,25667,https://www.etmoney.com/mutual-funds/invesco-india-invesco-global-equity-income-fof/portfolio-details/25667,NO_HOLDINGS,MSCI World Net Dividend,241.0,1.35,2014-04-15,0.0,,,,,,,,,,,,,,,
Kotak Global Emerging Market Overseas Equity Omni FoF,International,Kotak Mahindra Mutual Fund,5367,https://www.etmoney.com/mutual-funds/kotak-global-emerging-market-overseas-equity-omni-fof/portfolio-details/5367,NO_HOLDINGS,MSCI Emerging Markets TRI,1540.0,1.47,2007-07-25,0.0,,,,,,,,,,,,,,,
Kotak Global Innovation Overseas Equity Omni FoF,International,Kotak Mahindra Mutual Fund,42061,https://www.etmoney.com/mutual-funds/kotak-global-innovation-overseas-equity-omni-fof/portfolio-details/42061,NO_HOLDINGS,MSCI All Country World TRI,776.0,1.53,2021-07-08,0.0,,,,,,,,,,,,,,,
