mf_scheme_code,et_slug,et_scheme_id,notes,et_fund_name
148606,kotak-esg-exclusionary-strategy-fund-direct-growth,41670,manual_et_link,
148634,axis-innovation-fund-direct-growth,41693,manual_et_link,
148637,aditya-birla-sun-life-esg-integration-strategy-fund-direct-growth,41689,manual_et_link,
148751,invesco-india-esg-integration-strategy-fund-direct-growth,41807,manual_et_link,
148958,parag-parikh-conservative-hybrid-fund-direct-growth,41952,manual_et_link,
149533,sundaram-focused-fund-direct-growth,16177,manual_et_link,
149550,sundaram-arbitrage-fund-direct-growth,31779,manual_et_link,
149664,sundaram-liquid-direct-growth,16095,manual_et_link,
149717,sundaram-balanced-advantage-fund-direct-growth,16205,manual_et_link,
149841,kotak-manufacture-in-india-fund-direct-growth,42505,manual_et_link,
150206,baroda-bnp-paribas-conservative-hybrid-fund-direct-growth,15295,manual_et_link,
150266,baroda-bnp-paribas-india-consumption-fund-direct-growth,37823,manual_et_link,
150685,icici-prudential-transportation-and-logistics-fund-direct-growth,43065,manual_et_link,
150716,bandhan-transportation-and-logistics-fund-direct-growth,43069,manual_et_link,
151060,hsbc-equity-savings-fund-direct-growth,15850,manual_et_link,
151580,icici-prudential-innovation-fund-direct-growth,43851,manual_et_link,
151804,hdfc-consumption-fund-direct-growth,43966,manual_et_link,
151833,bajaj-finserv-liquid-fund-direct-growth,44000,manual_et_link,
151901,hdfc-transportation-and-logistics-fund-direct-growth,44079,manual_et_link,
151905,union-innovation-and-opportunities-fund-direct-growth,44063,manual_et_link,
151916,quant-manufacturing-fund-direct-growth,44075,manual_et_link,
151952,lic-mf-equity-savings-fund-direct-growth,16079,manual_et_link,
152032,hsbc-consumption-fund-direct-growth,44099,manual_et_link,
152033,nippon-india-innovation-fund-direct-growth,44109,manual_et_link,
152087,uti-innovation-fund-direct-growth,44180,manual_et_link,
152158,aditya-birla-sun-life-transportation-and-logistics-fund-direct-growth,44211,manual_et_link,
152169,kotak-consumption-fund-direct-growth,44240,manual_et_link,
152202,axis-india-manufacturing-fund-direct-growth,44224,manual_et_link,
152336,quant-consumption-fund-direct-growth,44418,manual_et_link,
152349,whiteoak-capital-pharma-and-healthcare-fund-direct-growth,44426,manual_et_link,
152450,canara-robeco-manufacturing-fund-direct-growth,44491,manual_et_link,
152470,baroda-bnp-paribas-innovation-fund-direct-growth,44467,manual_et_link,
152600,hdfc-manufacturing-fund-direct-growth,44652,manual_et_link,
152607,bandhan-innovation-fund-direct-growth,44610,manual_et_link,
152657,sbi-automotive-opportunities-fund-direct-growth,44707,manual_et_link,
152672,mahindra-manulife-manufacturing-fund-direct-growth,44715,manual_et_link,
152697,baroda-bnp-paribas-manufacturing-fund-direct-growth,44726,manual_et_link,
152756,invesco-india-manufacturing-fund-direct-growth,44796,manual_et_link,
152760,motilal-oswal-manufacturing-fund-direct-growth,44802,manual_et_link,
152776,sbi-innovative-opportunities-fund-direct-growth,44819,manual_et_link,
152805,axis-consumption-fund-direct-growth,44826,manual_et_link,
152920,lic-mf-manufacturing-fund-direct-growth,44945,manual_et_link,
152962,whiteoak-capital-esg-best-in-class-strategy-fund-direct-growth,45004,manual_et_link,
153055,tata-india-innovation-fund-direct-growth,45075,manual_et_link,
153075,bajaj-finserv-consumption-fund-direct-growth,45048,manual_et_link,
153118,kotak-transportation-and-logistics-fund-direct-growth,45089,manual_et_link,
153139,bank-of-india-consumption-fund-direct-growth,45167,manual_et_link,
153214,edelweiss-consumption-fund-direct-growth,45237,manual_et_link,
153258,motilal-oswal-innovation-opportunities-fund-direct-growth,45257,manual_et_link,
153355,whiteoak-capital-equity-savings-fund-direct-growth,45354,manual_et_link,
153620,hdfc-innovation-fund-direct-growth,45625,manual_et_link,
153705,quant-equity-savings-fund-direct-growth,45688,manual_et_link,
153758,bajaj-finserv-equity-savings-fund-direct-growth,45732,manual_et_link,
153883,the-wealth-company-liquid-fund-direct-growth,45839,manual_et_link,
153900,invesco-india-consumption-fund-direct-growth,45859,manual_et_link,
153913,motilal-oswal-consumption-fund-direct-growth,45873,manual_et_link,
153948,lic-mf-consumption-fund-direct-growth,45898,manual_et_link,
154011,capitalmind-liquid-fund-direct-growth,45965,manual_et_link,
154020,union-consumption-fund-direct-growth,45996,manual_et_link,
154051,abakkus-liquid-fund-direct-growth,46017,manual_et_link,
154121,mahindra-manulife-innovation-opportunities-fund-direct-growth,46063,manual_et_link,
154161,whiteoak-capital-consumption-opportunities-fund-direct-growth,46106,manual_et_link,
154195,baroda-bnp-paribas-esg-best-in-class-strategy-fund-direct-growth,46163,manual_et_link,
154250,canara-robeco-banking-and-financial-services-fund-direct-growth,46187,manual_et_link,
154316,kotak-multi-asset-active-fof-direct-growth,46261,manual_et_link,
