mf_scheme_code,nav_date,nav
120104,2016-03-07,1608.2459
120147,2022-03-13,60.6707
120152,2026-05-26,641.711
120154,2026-05-26,68.1898
120158,2026-05-26,395.864
120164,2026-05-26,304.332
120166,2026-05-26,95.591
120186,2026-05-26,83.23
120197,2026-05-26,411.996
120244,2026-05-26,145.93
120249,2026-05-26,5054.6362
120251,2026-05-26,444.9
120261,2026-05-26,222.4755
120262,2020-03-27,3024.287
120264,2026-05-26,108.5956
120267,2026-05-26,59.8788
120270,2026-05-26,164.1918
120276,2026-05-26,91.9529
120280,2020-03-27,3348.2894
120304,2026-05-26,4565.1591
120323,2026-05-26,509.91
120333,2026-05-26,61.95
120334,2026-05-26,890.7626
120348,2026-05-26,153.28
120351,2026-05-26,62.1049
120357,2026-05-26,120.77
120364,2026-05-26,38.8549
120377,2026-05-26,85.08
120381,2026-05-26,385.5
120385,2026-05-26,174.27
120389,2026-05-26,3097.7131
120392,2026-05-26,83.1
120395,2026-05-26,79.59
120401,2026-05-26,36.5158
120403,2026-05-26,224.62
120405,2026-05-26,81.1
120406,2026-05-26,75.9679
120413,2026-05-26,148.65
120415,2017-04-27,24.6415
120416,2026-05-26,140.81
120465,2026-05-26,66.66
120468,2026-05-26,59.95
120480,2026-05-26,35.4579
120482,2026-05-26,36.6925
120484,2026-05-26,133.367
120486,2026-05-26,104.2509
120488,2026-05-26,22.6601
120490,2026-05-26,172.8063
120492,2026-05-26,108.874
120494,2026-05-26,55.6853
120503,2026-05-26,105.5115
120505,2026-05-26,137.53
120517,2026-05-26,1680.73
120524,2026-05-26,51.6363
120537,2026-05-26,3821.051
120539,2026-05-26,165.95
120564,2026-05-26,2089.81
120575,2026-05-26,324.3721
120578,2026-05-26,214.9833
120586,2026-05-26,117.98
120587,2026-05-26,469.71
120591,2026-05-26,97.78
120592,2026-05-26,1012.19
120594,2026-05-26,190.89
120596,2026-05-26,1129.47
120599,2026-05-26,947.53
120621,2026-05-26,218.23
120656,2026-05-26,286.3412
120662,2026-05-26,322.4721
120665,2026-05-26,196.3966
120674,2026-05-26,432.3151
120682,2026-05-26,433.3776
120688,2026-05-26,179.08
120715,2026-05-26,222.1595
120722,2026-05-26,105.21
120726,2026-05-26,341.1157
120728,2026-05-26,152.2433
120731,2026-05-26,319.0955
120733,2026-05-26,217.6608
120751,2026-05-26,178.4378
120760,2026-05-26,87.7775
120779,2026-05-26,75.4008
120780,2026-05-26,59.7808
120782,2026-05-26,352.9091
120795,2026-05-26,39.3893
120819,2026-05-26,510.6694
120821,2026-05-26,182.4277
120823,2026-05-26,709.1131
120826,2026-05-26,137.4027
120828,2026-05-26,292.2481
120833,2026-05-26,45.6776
120834,2026-05-26,100.9817
120837,2026-05-26,44.6281
120841,2026-05-26,251.2702
120843,2026-05-26,120.3565
120847,2026-05-26,448.5976
122389,2026-05-26,54.6297
122639,2026-05-26,90.9189
125307,2026-05-26,74.8
125345,2026-05-26,2132.6123
125354,2026-05-26,125.36
125497,2026-05-26,194.2258
125597,2026-05-26,69.09
125711,2026-05-26,36.4674
126393,2026-05-26,32.641
127042,2026-05-26,107.5413
127850,2026-05-26,28.2247
129046,2026-05-26,63.424
129052,2026-05-26,21.303
129212,2026-05-26,110.5317
129220,2022-11-24,51.2176
129649,2026-05-26,60.58
130206,2026-05-26,21.9866
130450,2022-11-24,16.6962
130479,2022-03-13,3271.5995
130498,2026-05-26,356.285
130503,2026-05-26,153.923
130773,2026-05-26,21.4608
130825,2022-11-24,26.2586
130860,2026-05-26,30.4881
131355,2026-05-26,28.767
131373,2026-05-26,29.9528
131580,2026-05-26,52.7707
131670,2026-05-26,125.1
132756,2026-05-26,52.3428
132995,2026-05-26,25.47
133035,2026-05-26,75.236
133181,2023-10-27,16.3851
133386,2026-05-26,62.0341
133516,2026-05-26,40.4
133710,2026-05-26,43.6354
133801,2026-05-26,80.517
133839,2026-05-26,41.85
133859,2026-05-26,48.4261
134017,2026-05-26,23.6997
134045,2022-03-13,75.3119
134110,2021-07-02,16.8439
134594,2026-05-26,18.076
134643,2026-05-26,27.0275
134813,2026-05-26,38.6
134923,2026-05-26,44.9419
135120,2026-05-26,25.72
135341,2026-05-26,32.2321
135601,2026-05-26,38.17
135654,2026-04-10,32.8119
135677,2026-05-26,43.0187
135689,2021-09-13,17.4154
135781,2026-05-26,56.07
135793,2026-05-26,50.5058
135800,2026-05-26,46.1148
135805,2026-05-26,51.4346
135810,2026-05-26,37.2339
135813,2026-05-26,59.1373
136567,2026-05-26,24.972
138299,2026-05-26,363.3004
138312,2026-05-26,389.76
138376,2026-05-26,57.0022
138386,2026-05-26,153.38
138394,2019-07-28,33.48
138464,2019-07-28,24.7078
138875,2026-05-26,20.708
139221,2021-12-30,12.1581
139257,2022-01-24,57.823
139259,2022-01-24,41.4437
139527,2026-05-26,45.06
139538,2026-05-26,1813.403
139781,2026-05-26,31.9344
139872,2026-05-26,20.3404
139971,2023-07-27,18.6649
140175,2026-05-26,104.511
140196,2026-05-26,3599.4376
140228,2026-05-26,125.784
140241,2020-02-26,43.909
140347,2026-05-26,29.4988
140353,2026-05-26,44.62
140382,2026-05-26,30.624
140386,2022-03-13,13.5214
140444,2026-05-26,24.8904
140461,2023-07-27,20.81
141006,2022-03-13,19.0606
141226,2026-05-26,43.4597
141248,2026-05-26,24.41
141475,2023-07-27,22.78
141642,2026-05-26,23.64
141808,2026-05-26,21.49
141813,2022-03-13,14.794
141924,2026-05-26,23.561
141925,2026-05-26,29.13
142038,2026-05-26,21.71
142110,2026-05-26,40.8356
142283,2026-05-26,16.511
142388,2026-05-26,31.1454
143163,2026-05-26,24.1817
143269,2026-05-26,1539.8578
143537,2026-05-26,23.6669
143614,2026-05-26,15.1664
143783,2026-05-26,47.774
143793,2026-05-26,27.6397
144312,2026-05-26,17.73
144335,2026-05-26,22.54
144394,2026-05-26,22.25
144455,2023-07-27,18.64
144466,2026-05-26,18.4197
144490,2026-05-26,20.0586
144546,2026-05-26,26.4891
144634,2022-03-13,19.1106
144658,2021-07-22,10.9088
144681,2024-01-19,19.8323
144835,2026-05-26,37.4558
144905,2026-05-26,22.25
145110,2026-05-26,37.15
145137,2026-05-26,48.11
145206,2026-05-26,40.2461
145228,2022-11-25,16.7649
145356,2026-05-26,23.9813
145376,2022-11-24,16.6088
145396,2026-05-26,28.0906
145454,2026-05-26,45.587
145473,2026-05-26,30.02
145478,2021-12-31,13.1827
145599,2026-05-26,22.8972
145678,2026-05-26,57.2
145693,2026-05-26,22.514
145724,2026-05-26,15.991
145819,2026-05-26,23.2045
145834,2026-05-26,14.6701
145895,2026-05-26,15.2572
145971,2026-05-26,1490.091
146010,2026-05-26,23.1404
146130,2026-05-26,43.17
146196,2026-05-26,50.17
146297,2026-05-26,15.3193
146402,2022-03-13,14.0085
146457,2026-05-26,18.4498
146549,2026-05-26,24.7609
146643,2026-05-26,24.5425
146772,2026-05-26,31.7444
146951,2026-05-26,25.84
147131,2021-12-30,25.73
147157,2026-05-26,1447.2582
147183,2026-05-26,28.3811
147206,2026-05-26,25.875
147306,2026-05-26,22.259
147346,2026-05-26,32.38
147372,2026-05-26,24.08
147406,2026-05-26,18.5992
147409,2026-05-26,37.16
147445,2026-05-26,42.021
147446,2026-05-26,29.7609
147473,2026-05-26,29.238
147481,2026-05-26,31.8729
147492,2026-05-26,28.37
147496,2026-05-26,18.3794
147541,2026-05-26,27.0734
147587,2021-12-31,17.3254
147617,2026-05-26,14.3311
147662,2026-05-26,52.87
147689,2025-03-21,0.1261
147697,2025-03-21,0.6828
147704,2026-05-26,38.2395
147727,2026-05-25,36.643
147750,2026-05-26,27.9
147757,2026-05-26,25.6112
147778,2021-12-30,18.39
147789,2026-05-26,15.8875
147840,2026-05-26,29.8361
147844,2026-05-26,40.48
147919,2026-05-26,33.8246
147927,2021-12-31,10.8083
147928,2026-05-26,22.23
147937,2021-11-29,2047.225
147939,2021-11-29,2047.4043
147946,2026-05-26,53.324
148026,2021-12-31,15.1454
148053,2026-05-26,27.9386
148073,2026-05-26,54.69
148143,2020-07-10,4.0808
148265,2026-05-26,0.0
148274,2026-05-26,0.0
148296,2026-05-26,0.0
148302,2021-01-11,0.0
148353,2026-05-26,18.7537
148401,2026-05-26,14.287
148404,2026-05-26,39.86
148411,2026-05-26,27.9574
148413,2026-05-26,41.4437
148414,2026-05-26,41.4437
148415,2025-03-27,41.4437
148454,2025-07-18,13.1521
148457,2026-05-26,26.5825
148468,2026-05-26,13.5272
148474,2026-05-26,29.2425
148481,2026-05-26,29.06
148507,2026-05-26,21.8582
148516,2026-05-26,22.51
148524,2021-12-30,14.81
148539,2026-05-26,28.74
148564,2026-05-26,40.4009
148567,2026-05-26,29.7326
148592,2026-05-26,18.98
148595,2026-05-22,24.36
148600,2026-05-26,23.23
148606,2026-05-26,17.772
148618,2026-05-26,28.6375
148623,2026-05-26,22.546
148634,2026-05-26,20.35
148637,2026-05-26,18.7
148651,2026-05-26,26.15
148658,2026-05-26,16.26
