stock_name,fund_count,avg_allocation_percent
HDFC LIFE INSURANCE CO,37,1.3124324324324326
JSW ENERGY,37,1.037837837837838
VEDANTA ALUMINIUM METAL,37,0.5972972972972973
MALCO ENERGY,37,0.2602702702702703
VEDANTA POWER,37,0.20945945945945946
BAJAJ AUTO,36,1.3491666666666666
VEDANTA IRON AND STEEL,36,0.215
POWER GRID CORPORATION OF INDIA,35,1.4642857142857142
GODREJ CONSUMER PRODUCTS,35,0.8891428571428571
ACUTAAS CHEMICALS,34,1.744705882352941
ADANI PORTS AND SPECIAL ECONOMIC ZONE,34,1.6588235294117646
KIRLOSKAR OIL ENGINES,34,1.5458823529411765
CIPLA,34,1.3841176470588237
RBL BANK,34,1.279705882352941
BANK OF BARODA,34,1.1647058823529413
NEULAND LABORATORIES,34,1.1341176470588237
DR. REDDY'S LABORATORIES,33,1.4796969696969697
TATA CONSUMER PRODUCTS,33,1.2627272727272727
AUROBINDO PHARMA,32,2.4856249999999998
ASTER DM HEALTHCARE,32,1.4012499999999999
BAJAJ FINSERV,32,1.3625
CRAFTSMAN AUTOMATION,32,1.066875
CREDITACCESS GRAMEEN,32,0.9134375
SUPREME INDUSTRIES,32,0.8534375
BILLIONBRAINS GARAGE VENTURES,31,1.399032258064516
NATIONAL ALUMINIUM COMPANY,31,1.313225806451613
JSW STEEL,31,1.3029032258064517
PAGE INDUSTRIES,31,0.9974193548387097
ANTHEM BIOSCIENCES,31,0.9067741935483871
BHARAT PETROLEUM CORPORATION,31,0.74
SAFARI INDUSTRIES (INDIA),31,0.5716129032258064
ADITYA BIRLA CAPITAL,30,1.4226666666666667
SAGILITY,30,1.0803333333333334
MOTHERSON SUMI WIRING INDIA,30,1.0023333333333333
LTM,30,0.8173333333333334
LENSKART SOLUTIONS,30,0.773
AMBUJA CEMENTS,29,1.1262068965517242
ABBOTT INDIA,29,1.0772413793103448
DR. LAL PATHLABS,29,1.04
ENDURANCE TECHNOLOGIES,29,0.7610344827586207
HEXAWARE TECHNOLOGIES,29,0.7524137931034482
SYNGENE INTERNATIONAL,29,0.666896551724138
JYOTI CNC AUTOMATION,29,0.6524137931034484
IDFC FIRST BANK,28,1.4510714285714283
ALKEM LABORATORIES,28,1.4507142857142856
AFFLE 3I,28,1.2639285714285715
OBEROI REALTY,28,0.9864285714285714
SOBHA,28,0.8235714285714285
EMAMI,28,0.7753571428571429
GLENMARK PHARMACEUTICALS,27,1.7822222222222222
COAL INDIA,27,1.635925925925926
CARBORUNDUM UNIVERSAL,27,0.8051851851851851
WHIRLPOOL OF INDIA,27,0.7307407407407408
DALMIA BHARAT,26,1.1588461538461539
AIA ENGINEERING,26,1.155
ASTRAL,26,1.0342307692307693
MOTILAL OSWAL FINANCIAL SERVICES,26,1.0338461538461539
GLAND PHARMA,26,1.0253846153846153
VOLTAS,26,0.9888461538461539
PETRONET LNG,26,0.9861538461538462
THE RAMCO CEMENTS,26,0.9330769230769231
DOMS INDUSTRIES,26,0.9188461538461539
COMPUTER AGE MANAGEMENT SERVICES,26,0.8634615384615384
METRO BRANDS,26,0.7061538461538461
TATA COMMUNICATIONS,25,1.4316
MAHINDRA & MAHINDRA FINANCIAL SERVICES,25,1.4056
ABB INDIA,25,1.3476
GLOBAL HEALTH,25,1.2116
TATA MOTORS PASSENGER VEHICLES,25,0.8515999999999999
ADITYA INFOTECH,24,1.5483333333333336
BHARAT DYNAMICS,24,1.19
THERMAX,24,1.1708333333333334
KAJARIA CERAMICS,24,0.9900000000000001
ADITYA BIRLA REAL ESTATE,24,0.7916666666666666
DLF,24,0.7066666666666667
NESTLE INDIA,23,2.1969565217391307
BANK OF MAHARASHTRA,23,1.6121739130434782
GRASIM INDUSTRIES,23,1.4552173913043478
TATA CAPITAL,23,0.9617391304347827
BALKRISHNA INDUSTRIES,23,0.9469565217391305
KFIN TECHNOLOGIES,23,0.8991304347826087
TRIVENI TURBINE,23,0.8456521739130435
KAYNES TECHNOLOGY INDIA,23,0.7234782608695652
KPIT TECHNOLOGIES,23,0.618695652173913
LINDE INDIA,22,1.3804545454545456
ORACLE FINANCIAL SERVICES SOFTWARE,22,1.2822727272727272
EQUITAS SMALL FINANCE BANK,22,0.9995454545454545
UNITED BREWERIES,22,0.9863636363636363
BIOCON,22,0.9672727272727273
ICICI PRUDENTIAL LIFE INSURANCE COMPANY,22,0.9654545454545453
PIDILITE INDUSTRIES,22,0.9177272727272728
REC,22,0.915909090909091
TBO TEK,22,0.6645454545454546
TD POWER SYSTEMS,21,1.7142857142857142
GABRIEL INDIA,21,1.2747619047619048
ANGEL ONE,21,1.2266666666666666
